person_id,target
0,1
1,0
2,0
3,1
4,0
5,0
6,0
7,1
8,0
9,1
10,1
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,1
20,0
21,0
22,0
23,1
24,0
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,1
39,1
40,1
41,0
42,1
43,1
44,1
45,1
46,1
47,0
48,0
49,0
50,1
51,0
52,0
53,1
54,1
55,0
56,1
57,1
58,1
59,0
60,1
61,0
62,0
63,1
64,0
65,1
66,1
67,1
68,0
69,0
70,1
71,1
72,0
73,0
74,1
75,1
76,1
77,0
78,0
79,1
80,1
81,1
82,0
83,0
84,1
85,1
86,0
87,1
88,0
89,1
90,1
91,1
92,1
93,0
94,1
95,1
96,0
97,0
98,1
99,0
100,1
101,0
102,0
103,0
104,1
105,0
106,0
107,1
108,0
109,1
110,0
111,0
112,0
113,1
114,0
115,0
116,1
117,0
118,0
119,1
120,1
121,0
122,0
123,1
124,0
125,0
126,0
127,0
128,0
129,0
130,1
131,0
132,1
133,0
134,0
135,1
136,0
137,0
138,1
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,1
149,1
150,0
151,1
152,1
153,1
154,0
155,1
156,1
157,1
158,0
159,0
160,0
161,1
162,1
163,1
164,1
165,0
166,1
167,0
168,1
169,1
170,1
171,0
172,1
173,0
174,0
175,1
176,1
177,1
178,0
179,1
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,1
192,0
193,1
194,0
195,1
196,0
197,0
198,1
199,0
200,0
201,0
202,0
203,1
204,0
205,1
206,0
207,0
208,0
209,1
210,1
211,1
212,1
213,0
214,1
215,0
216,1
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,1
228,0
229,1
230,0
231,0
232,0
233,0
234,1
235,0
236,1
237,1
238,0
239,1
240,1
241,1
242,1
243,1
244,0
245,1
246,1
247,1
248,0
249,1
250,1
251,0
252,1
253,1
254,0
255,1
256,1
257,1
258,0
259,1
260,1
261,1
262,1
263,0
264,1
265,1
266,1
267,0
268,1
269,1
270,0
271,0
272,0
273,1
274,1
275,0
276,1
277,0
278,1
279,0
280,1
281,1
282,1
283,1
284,0
285,0
286,0
287,0
288,0
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,0
297,0
298,1
299,1
300,0
301,1
302,0
303,0
304,1
305,0
306,0
307,1
308,0
309,0
310,1
311,0
312,0
313,0
314,0
315,0
316,1
317,1
318,0
319,1
320,0
321,0
322,0
323,0
324,0
325,1
326,1
327,1
328,1
329,0
330,0
331,0
332,1
333,0
334,1
335,1
336,1
337,1
338,0
339,1
340,1
341,0
342,0
343,0
344,1
345,0
346,1
347,1
348,1
349,0
350,0
351,0
352,0
353,1
354,1
355,1
356,1
357,0
358,0
359,0
360,0
361,0
362,0
363,1
364,0
365,0
366,1
367,0
368,0
369,0
370,1
371,0
372,1
373,0
374,0
375,0
376,1
377,1
378,1
379,1
380,1
381,0
382,1
383,0
384,0
385,0
386,1
387,0
388,0
389,1
390,0
391,1
392,0
393,1
394,0
395,1
396,1
397,1
398,0
399,0
400,1
401,1
402,0
403,0
404,1
405,1
406,0
407,0
408,1
409,0
410,1
411,1
412,1
413,1
414,0
415,0
416,1
417,1
418,1
419,1
420,1
421,1
422,0
423,1
424,1
425,0
426,1
427,0
428,0
429,0
430,1
431,1
432,0
433,1
434,0
435,1
436,0
437,1
438,1
439,0
440,1
441,0
442,0
443,1
444,0
445,0
446,1
447,0
448,1
449,0
450,1
451,0
452,0
453,1
454,0
455,0
456,1
457,0
458,0
459,0
460,0
461,1
462,1
463,1
464,1
465,0
466,0
467,0
468,0
469,1
470,0
471,0
472,0
473,0
474,0
475,1
476,0
477,1
478,1
479,0
480,0
481,0
482,1
483,0
484,1
485,1
486,0
487,1
488,0
489,0
490,0
491,1
492,0
493,1
494,1
495,0
496,1
497,1
498,0
499,0
500,1
501,1
502,0
503,1
504,1
505,1
506,1
507,0
508,1
509,0
510,1
511,1
512,1
513,0
514,0
515,0
516,1
517,1
518,0
519,0
520,1
521,0
522,1
523,0
524,1
525,1
526,1
527,0
528,0
529,0
530,1
531,0
532,1
533,0
534,0
535,1
536,1
537,1
538,1
539,1
540,0
541,0
542,1
543,0
544,1
545,1
546,0
547,0
548,0
549,0
550,1
551,1
552,0
553,1
554,1
555,0
556,1
557,1
558,0
559,0
560,1
561,1
562,1
563,0
564,1
565,1
566,1
567,0
568,0
569,0
570,0
571,0
572,1
573,0
574,0
575,0
576,0
577,1
578,1
579,0
580,0
581,0
582,0
583,1
584,0
585,1
586,1
587,1
588,0
589,1
590,1
591,1
592,1
593,0
594,1
595,1
596,0
597,1
598,1
599,1
600,0
601,1
602,0
603,1
604,1
605,0
606,0
607,1
608,1
609,1
610,0
611,1
612,0
613,1
614,1
615,1
616,0
617,0
618,1
619,1
620,1
621,0
622,1
623,0
624,1
625,1
626,1
627,1
628,1
629,0
630,1
631,0
632,0
633,0
634,0
635,0
636,0
637,1
638,0
639,1
640,1
641,0
642,1
643,0
644,0
645,1
646,0
647,1
648,1
649,1
650,0
651,1
652,0
653,0
654,1
655,1
656,1
657,0
658,1
659,1
660,0
661,1
662,1
663,1
664,0
665,1
666,1
667,0
668,1
669,1
670,1
671,1
672,1
673,0
674,1
675,1
676,1
677,1
678,0
679,0
680,1
681,1
682,0
683,0
684,1
685,1
686,1
687,0
688,0
689,0
690,1
691,1
692,1
693,1
694,0
695,0
696,1
697,1
698,1
699,0
700,1
701,1
702,1
703,0
704,1
705,0
706,1
707,0
708,1
709,1
710,1
711,1
712,0
713,0
714,0
715,0
716,1
717,1
718,1
719,0
720,1
721,0
722,1
723,1
724,1
725,1
726,1
727,0
728,1
729,1
730,0
731,1
732,1
733,1
734,1
735,1
736,0
737,0
738,0
739,1
740,1
741,0
742,1
743,1
744,1
745,1
746,0
747,0
748,1
749,0
750,1
751,0
752,1
753,0
754,0
755,1
756,0
757,0
758,0
759,1
760,0
761,0
762,0
763,0
764,1
765,1
766,0
767,0
768,0
769,0
770,1
771,0
772,0
773,0
774,0
775,0
776,0
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,1
793,0
794,0
795,0
796,0
797,1
798,0
799,0
800,1
801,0
802,1
803,0
804,1
805,1
806,0
807,0
808,1
809,1
810,0
811,1
812,0
813,0
814,0
815,1
816,1
817,0
818,0
819,0
820,0
821,1
822,0
823,0
824,0
825,0
826,1
827,0
828,1
829,1
830,1
831,0
832,1
833,0
834,0
835,1
836,1
837,0
838,0
839,0
840,1
841,0
842,1
843,0
844,0
845,1
846,1
847,1
848,1
849,0
850,1
851,1
852,1
853,0
854,0
855,1
856,1
857,1
858,0
859,1
860,1
861,0
862,0
863,0
864,1
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,1
874,0
875,1
876,1
877,0
878,0
879,0
880,1
881,0
882,0
883,1
884,1
885,0
886,1
887,1
888,0
889,1
890,1
891,0
892,0
893,1
894,0
895,1
896,0
897,0
898,1
899,1
900,1
901,0
902,1
903,1
904,1
905,1
906,1
907,1
908,0
909,1
910,0
911,0
912,1
913,0
914,0
915,0
916,0
917,0
918,0
919,1
920,0
921,1
922,0
923,1
924,0
925,0
926,0
927,0
928,1
929,0
930,1
931,1
932,1
933,1
934,0
935,1
936,1
937,1
938,1
939,0
940,1
941,1
942,1
943,1
944,1
945,1
946,0
947,1
948,0
949,1
950,1
951,1
952,1
953,1
954,1
955,0
956,1
957,1
958,0
959,0
960,1
961,0
962,1
963,0
964,0
965,1
966,1
967,0
968,0
969,1
970,0
971,1
972,1
973,0
974,1
975,0
976,1
977,1
978,0
979,0
980,0
981,0
982,0
983,0
984,1
985,1
986,0
987,1
988,1
989,1
990,0
991,1
992,0
993,1
994,1
995,1
996,0
997,0
998,0
999,0
