person_id,target,partner
0,1,298
1,0,521
2,0,476
3,1,670
4,1,568
5,0,408
6,0,134
7,1,366
8,1,560
9,1,666
10,0,53
11,1,861
12,1,21
13,0,42
14,0,515
15,1,6
16,0,375
17,1,719
18,1,215
19,1,342
20,0,766
21,1,288
22,0,986
23,1,412
24,0,904
25,0,441
26,0,438
27,1,807
28,1,491
29,1,128
30,0,956
31,0,368
32,0,848
33,1,582
34,1,971
35,1,178
36,0,525
37,0,990
38,0,471
39,1,30
40,1,377
41,1,688
42,0,775
43,1,372
44,1,431
45,0,25
46,0,707
47,1,167
48,1,533
49,1,850
50,1,415
51,1,171
52,1,352
53,0,44
54,1,396
55,0,176
56,1,989
57,0,389
58,0,677
59,1,767
60,0,901
61,1,239
62,1,665
63,1,971
64,0,752
65,1,517
66,0,448
67,1,293
68,0,344
69,1,518
70,0,202
71,1,165
72,1,413
73,1,346
74,1,590
75,1,199
76,1,939
77,1,75
78,0,53
79,0,226
80,1,694
81,1,964
82,1,169
83,1,735
84,0,620
85,0,589
86,1,88
87,0,109
88,0,116
89,0,662
90,0,332
91,0,13
92,0,818
93,0,105
94,0,809
95,1,709
96,0,339
97,0,499
98,1,298
99,0,516
100,0,534
101,1,167
102,0,561
103,0,797
104,0,268
105,0,213
106,0,841
107,0,447
108,1,503
109,0,847
110,1,458
111,0,806
112,1,637
113,0,605
114,1,942
115,0,265
116,1,179
117,0,39
118,1,133
119,0,238
120,1,502
121,1,852
122,1,660
123,0,293
124,1,792
125,1,653
126,1,432
127,0,782
128,1,154
129,1,488
130,1,914
131,0,257
132,1,599
133,0,81
134,0,700
135,1,816
136,1,849
137,1,857
138,1,841
139,0,379
140,1,541
141,1,385
142,1,418
143,1,309
144,1,714
145,0,789
146,0,922
147,0,571
148,0,31
149,0,123
150,1,287
151,1,383
152,1,523
153,1,208
154,0,206
155,1,928
156,1,81
157,1,832
158,1,722
159,0,560
160,1,901
161,1,355
162,1,82
163,1,256
164,1,130
165,1,78
166,0,256
167,1,503
168,0,223
169,0,45
170,0,726
171,0,519
172,1,865
173,0,2
174,1,433
175,1,424
176,1,887
177,1,127
178,1,449
179,1,46
180,1,708
181,0,848
182,1,883
183,1,797
184,1,350
185,1,246
186,1,263
187,0,498
188,1,620
189,1,25
190,0,9
191,1,988
192,0,177
193,1,329
194,1,456
195,0,389
196,0,514
197,0,96
198,0,130
199,1,580
200,1,31
201,1,121
202,0,139
203,0,196
204,0,694
205,0,597
206,1,195
207,0,314
208,1,600
209,1,231
210,1,996
211,0,455
212,1,778
213,1,678
214,1,347
215,0,872
216,0,22
217,1,45
218,0,214
219,0,39
220,1,34
221,0,260
222,0,675
223,1,679
224,0,244
225,1,109
226,1,109
227,1,992
228,0,140
229,0,299
230,0,264
231,1,123
232,1,470
233,0,202
234,0,284
235,1,899
236,0,11
237,0,677
238,1,671
239,0,955
240,0,315
241,1,734
242,1,742
243,1,470
244,0,437
245,0,953
246,1,14
247,1,602
248,0,591
249,1,568
250,0,860
251,1,226
252,0,746
253,1,47
254,1,391
255,1,995
256,0,904
257,0,688
258,0,113
259,0,718
260,0,653
261,0,858
262,1,462
263,0,860
264,0,862
265,0,562
266,0,453
267,1,550
268,1,391
269,1,601
270,1,978
271,0,493
272,0,468
273,0,661
274,0,650
275,1,624
276,1,153
277,1,229
278,0,719
279,0,629
280,0,388
281,1,78
282,1,353
283,0,320
284,0,711
285,0,483
286,1,45
287,0,10
288,0,991
289,0,271
290,1,730
291,0,388
292,0,407
293,1,266
294,1,113
295,0,799
296,0,265
297,0,40
298,1,943
299,1,871
300,1,725
301,1,202
302,0,940
303,0,239
304,0,37
305,0,241
306,0,532
307,1,355
308,0,752
309,0,397
310,1,812
311,0,629
312,1,177
313,0,893
314,0,970
315,0,675
316,1,766
317,0,11
318,1,753
319,1,373
320,1,970
321,1,830
322,1,214
323,0,689
324,0,452
325,0,764
326,0,434
327,0,45
328,0,936
329,0,121
330,0,722
331,0,714
332,1,770
333,1,857
334,1,625
335,1,68
336,1,470
337,0,768
338,0,45
339,0,555
340,0,997
341,1,561
342,0,310
343,1,558
344,1,92
345,0,597
346,0,116
347,0,930
348,1,472
349,1,425
350,1,362
351,1,27
352,0,425
353,0,591
354,1,836
355,0,951
356,1,879
357,1,247
358,1,367
359,0,960
360,1,549
361,1,3
362,1,6
363,1,771
364,0,820
365,1,312
366,1,697
367,1,40
368,0,701
369,0,585
370,0,713
371,0,350
372,1,38
373,0,774
374,1,30
375,0,685
376,0,27
377,1,807
378,1,227
379,0,409
380,0,153
381,0,18
382,0,901
383,0,550
384,0,87
385,0,736
386,1,929
387,1,83
388,0,422
389,0,746
390,1,724
391,0,985
392,1,421
393,0,856
394,0,77
395,0,464
396,0,62
397,0,753
398,0,987
399,0,545
400,1,527
401,1,498
402,0,923
403,1,719
404,1,170
405,1,485
406,0,498
407,0,669
408,0,600
409,0,716
410,1,419
411,1,559
412,0,453
413,0,582
414,1,230
415,0,818
416,1,61
417,0,150
418,1,372
419,0,744
420,0,286
421,1,365
422,1,950
423,1,7
424,0,982
425,1,766
426,1,346
427,1,847
428,1,239
429,1,757
430,0,246
431,0,724
432,1,442
433,1,429
434,1,872
435,1,365
436,1,369
437,0,46
438,1,205
439,1,1
440,1,726
441,1,913
442,0,322
443,1,846
444,0,583
445,1,557
446,0,636
447,1,816
448,1,587
449,0,416
450,1,374
451,0,378
452,0,447
453,0,816
454,0,107
455,0,923
456,0,623
457,0,347
458,0,445
459,0,516
460,0,467
461,1,24
462,1,105
463,1,217
464,1,142
465,0,889
466,1,861
467,0,495
468,0,968
469,1,273
470,1,645
471,0,62
472,1,485
473,0,416
474,1,475
475,1,898
476,1,267
477,0,756
478,0,144
479,1,40
480,0,644
481,1,14
482,1,536
483,1,169
484,0,613
485,0,597
486,0,2
487,0,973
488,1,421
489,0,316
490,1,292
491,0,224
492,1,569
493,0,149
494,0,237
495,1,643
496,0,956
497,0,50
498,1,355
499,1,893
500,1,849
501,1,363
502,0,795
503,1,573
504,0,806
505,1,86
506,0,716
507,0,111
508,1,874
509,1,695
510,0,3
511,1,264
512,1,571
513,1,668
514,0,27
515,0,329
516,0,894
517,1,57
518,0,212
519,0,32
520,1,885
521,1,517
522,0,316
523,0,222
524,1,309
525,1,553
526,0,822
527,0,866
528,0,562
529,1,89
530,0,37
531,1,47
532,1,498
533,0,830
534,1,503
535,0,721
536,1,400
537,1,745
538,1,891
539,1,236
540,1,6
541,0,658
542,0,639
543,1,917
544,0,139
545,1,626
546,0,209
547,0,141
548,0,891
549,1,276
550,0,291
551,1,218
552,1,638
553,0,578
554,0,426
555,1,384
556,1,546
557,1,74
558,0,671
559,0,43
560,1,164
561,1,876
562,1,202
563,1,712
564,1,645
565,0,338
566,1,512
567,1,201
568,0,634
569,1,720
570,0,870
571,0,233
572,0,277
573,0,792
574,0,387
575,0,638
576,1,25
577,1,511
578,0,910
579,1,176
580,1,452
581,1,382
582,0,625
583,1,469
584,1,459
